題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
340,暑期練習7/20,下列何者是造成臺灣西部沿海地層嚴重下陷的原因？,地殼板塊運動,火山活動,超抽地下水,地震,(C) 超抽地下水,"【正解】：(C)
【解析】：
1. 正確選項 (C)：臺灣西部沿海（如彰化、雲林、嘉義、屏東等沿海鄉鎮）因養殖漁業與農業灌溉用水需求龐大，長期「大量超抽地下水」，造成地下水位大幅下降，未固結的深部黏土層孔隙水壓驟降而壓密脫水，引發不可逆的「地層嚴重下陷」。
2. 其他選項說明：
- (A)(D) 板塊運動與地震主要造成造山抬升或局部斷層錯動，非平原大範圍持續均勻下陷的主因。
- (B) 西部平原非近期火山活動區。"
341,暑期練習7/20,下列何者「不是」河川水質監測項目之一？,水溫,酸鹼值,總三鹵甲烷,硝酸鹽氮,(C) 總三鹵甲烷,"【正解】：(C)
【解析】：
1. 正確選項 (C)：「總三鹵甲烷（THMs）」是自來水淨水處理過程中，加入氯氣消毒與水中天然有機物反應生成的「消毒副產物（DBPs）」，屬於《飲用水水質標準》的管制項目，而非一般天然河川水質的常規監測項目。
2. 其他選項說明：
- (A) 水溫：為河川基本物理監測項目。
- (B) 酸鹼值（pH）：為河川水質基本指標。
- (D) 硝酸鹽氮（NO3-N）：為評估河川營養鹽含量與農業/污水污染的重要化學指標。"
342,暑期練習7/20,《京都議定書》中規範下列何種溫室氣體？,二氧化碳(CO2),氧氣(O2),一氧化碳(CO),臭氧(O3),(A) 二氧化碳(CO2),"【正解】：(A)
【解析】：
1. 正確選項 (A)：1997年通過的《京都議定書》（Kyoto Protocol）規範了六種主要的溫室氣體減量清單：二氧化碳（CO2）、甲烷（CH4）、氧化亞氮（N2O）、氫氟碳化物（HFCs）、全氟碳化物（PFCs）及六氟化硫（SF6）。因此二氧化碳為列管氣體。
2. 其他選項說明：
- (B) 氧氣（O2）：為大氣主要組成成分，非溫室氣體。
- (C) 一氧化碳（CO）：為有毒空氣污染物，非《京都議定書》直接列管之溫室氣體。
- (D) 臭氧（O3）：對流層臭氧雖具溫室效應，但未列入《京都議定書》直接減量管制清單。"
343,暑期練習7/20,下列有關鉛的生物偵測的敘述何者「錯誤」？,有機鉛化合物的吸收，主要是由皮膚吸收,循環中的鉛，90%會與紅血球結合,90%的鉛會最後儲存於骨骼,有機鉛的暴露，最好的偵測指標則是血中鉛濃度,(D) 有機鉛的暴露，最好的偵測指標則是血中鉛濃度,"【正解】：(D)
【解析】：
1. 正確選項（錯誤敘述）(D)：「無機鉛」暴露的最佳生物偵測指標為「血中鉛濃度（BLL）」；但「有機鉛（如四烷基鉛）」具高度脂溶性且在體內快速代謝，有機鉛暴露的最佳生物偵測指標為「尿中總鉛或尿中烷基鉛代謝物濃度」，而非血中鉛濃度。
2. 其他選項說明：
- (A) 有機鉛具高脂溶性，極易經由完整皮膚快速吸收。
- (B) 進入血液循環的鉛約有 90% 以上與紅血球（血紅素）緊密結合。
- (C) 體內吸收的鉛經過分佈，約 90%～95% 最終會蓄積於骨骼與牙齒中（生物半衰期長達數十年）。"
344,暑期練習7/20,一般家庭由自來水公司配送之水資源，應再經何種淨水程序方可飲用？,可直接飲用,取水於容器中靜置一段時間,經煮沸後可飲用,不可使用於飲食上,(C) 經煮沸後可飲用,"【正解】：(C)
【解析】：
1. 正確選項 (C)：自來水出廠時雖符合水質標準，但在配送至家戶過程中，可能經過老舊輸水管線、蓄水池或水塔等設施，存在二次污染或餘氯殘留疑慮。因此官方與衛生專家建議自來水應「經煮沸後」再飲用，高溫煮沸可徹底殺滅微生物病菌並促使餘氯揮發。
2. 其他選項說明：
- (A) 考量臺灣多數家戶水塔與管線維護狀況不一，直接生飲具衛生風險。
- (B) 單純靜置無法殺滅病菌，亦無法有效去除溶解性有害物質。
- (D) 自來水經煮沸處理後完全安全衛生，適合日常飲食烹調。"
345,暑期練習7/20,為推動全民食農教育，強化飲食、環境與農業之連結，特制定「食農教育法」。請問其推動方針不包含下列何者?,支持認同在地農業,地產地消永續農業,傳承與創新飲食文化,加入WTO提倡公平貿易,(D) 加入WTO提倡公平貿易,"【正解】：(D)
【解析】：
1. 正確選項 (D)：我國《食農教育法》明定的推動方針核心在於：支持在地農業、培養均衡飲食習慣、珍惜食物減少浪費、傳承與創新飲食文化、深化地產地消、實踐環境永續等。「加入WTO提倡公平貿易」屬於國際經貿與關稅談判範疇，並非《食農教育法》之推動方針。
2. 其他選項說明：(A)、(B)、(C) 皆為《食農教育法》明定之核心推動面向。"
346,暑期練習7/20,下列何種組合屬於「海洋能」發電？,潮汐發電、溫差發電,溫差發電、汽電共生發電,洋流發電、燃煤發電,潮汐發電、燃氣發電,(A) 潮汐發電、溫差發電,"【正解】：(A)
【解析】：
1. 正確選項 (A)：海洋能（Ocean Energy）是指利用海洋所蘊藏的自然物理能量進行發電的再生能源，主要包括：潮汐能發電（Tidal）、波浪能發電（Wave）、海流/洋流能發電（Ocean Current）、海洋溫差發電（OTEC）及鹽差能發電。因此「潮汐發電、溫差發電」完全屬於海洋能發電組合。
2. 其他選項說明：
- (B) 汽電共生：利用燃料燃燒同時產生電能與熱能，非海洋能。
- (C) 燃煤發電：屬於傳統化石燃料火力發電。
- (D) 燃氣發電：屬於天然氣火力發電。"
347,暑期練習7/20,我國第一座海洋國家公園，其珊瑚礁屬於特殊珍貴自然景觀？,澎湖南方四島國家公園,金門國家公園,東沙環礁國家公園,墾丁國家公園,(C) 東沙環礁國家公園,"【正解】：(C)
【解析】：
1. 正確選項 (C)：民國96年（2007年）成立的「東沙環礁國家公園」是我國「第一座海洋型國家公園」，擁有直徑約25公里之完整圓形沉水環礁與潟湖生態系，發育了壯麗且珍貴的珊瑚礁堡壘，具高度國際保育價值。
2. 其他選項說明：
- (A) 澎湖南方四島國家公園：成立於民國103年（2014年），為臺灣第二座海洋國家公園。
- (B) 金門國家公園：成立於1995年，以維護歷史古蹟、戰役紀念為主兼具自然資源。
- (D) 墾丁國家公園：成立於1984年，為臺灣第一座國家公園（陸海兼具），但專門以海洋生態系保育為主設立的第一座「海洋型國家公園」為東沙環礁國家公園。"
348,暑期練習7/20,全球可劃分為熱帶、溫帶、寒帶三個氣候帶。劃分此三個氣候帶的指標為哪兩條緯線？,本初經線、赤道,赤道、回歸線,回歸線、極圈,國際換日線、赤道,(C) 回歸線、極圈,"【正解】：(C)
【解析】：
1. 正確選項 (C)：地理學上依據太陽直射與極晝極夜現象劃分三大基本氣候帶（天文五帶）：
   - 熱帶：南北回歸線之間（23.5°N ～ 23.5°S），有太陽直射現象；
   - 溫帶：回歸線至極圈之間（南北半球 23.5° ～ 66.5°），無直射亦無極晝極夜；
   - 寒帶：極圈以內（南北半球 66.5° ～ 90°），有極晝與極夜現象。
   因此劃分指標為「回歸線」與「極圈」。
2. 其他選項說明：(A)、(D) 本初子午線與國際換日線皆為經線，經線與氣候帶劃分無關；(B) 赤道為熱帶中心，非劃分溫帶與寒帶之界線。"
349,暑期練習7/20,日常耗能以空調與照明用電佔最大比例。一般而言，哪一種燈具的耗電量最高？,鎢絲燈泡,日光燈,LED燈,省電燈泡,(A) 鎢絲燈泡,"【正解】：(A)
【解析】：
1. 正確選項 (A)：鎢絲燈泡（白熾燈）是利用電流通過鎢絲產生高溫白熾發光，發光效率極低（僅約 10~15 lm/W），輸入電能中高達 90% 以上轉化為無效的廢熱散失，只有不到 10% 轉化為可見光，因此在相同照明亮度下耗電量最高。
2. 其他選項說明：
- (B)(D) 日光燈與省電燈泡發光效率約 50~70 lm/W，比鎢絲燈省電 70~80%。
- (C) LED燈發光效率高達 100~150 lm/W 以上，是目前市面上最省電且壽命最長之光源。"
350,暑期練習7/20,有關空氣污染的敘述，下列何者「錯誤」？,一氧化碳可能造成人體中毒現象,二氧化氮是造成雨水酸化的原因之一,臭氧只對植物有害，對人類沒影響,二氧化硫是造成雨水酸化的原因之一,(C) 臭氧只對植物有害，對人類沒影響,"【正解】：(C)
【解析】：
1. 正確選項（錯誤敘述）(C)：對流層（地表）臭氧（O3）是一種強氧化劑，對「人類與植物均有高度毒害性」。吸入地表臭氧會強烈刺激呼吸道黏膜，引起咳嗽、胸悶、氣喘發作及損害肺功能；同時亦會破壞植物葉肉組織與光合作用。
2. 其他選項說明：
- (A) 一氧化碳（CO）與血紅素結合力遠高於氧氣，會阻礙氧氣輸送導致人體缺氧中毒。
- (B)(D) 二氧化氮（NO2）與二氧化硫（SO2）在大氣中與水反應生成硝酸與硫酸，是造成酸雨的主要原因。"
351,暑期練習7/23,公害造成損害時，「程度鑑定」主要為了確認下列何者？,何種污染物造成損害,造成損害之污染來源,評估危害程度,以上皆是,(C) 評估危害程度,"【正解】：(C)
【解析】：
1. 正確選項 (C)：公害糾紛鑑定程序中，針對公害損害之鑑定通常包含「因果關係鑑定」與「損害程度鑑定」：
   - 「因果關係鑑定」在於確認污染物種類與污染來源；
   - 「程度鑑定」之主要目的則在於量化與評估「公害對人體健康、農漁作物或財產所造成的危害與實質受損程度」，作為認定損害賠償額度與救濟之科學依據。
2. 其他選項說明：(A)、(B) 屬於污染源確認與因果關係鑑定範疇，非損害程度鑑定之核心。"
352,暑期練習7/23,民國75年高雄縣二仁溪口發生養殖牡蠣因受到水污染而變綠死亡，試問導致綠牡蠣事件的原因是下列哪個選項？,水中藻類大量繁殖,水中有機物質濃度過高,水中含有毒的重金屬,水中溶氧量過高,(C) 水中含有毒的重金屬,"【正解】：(C)
【解析】：
1. 正確選項 (C)：民國75年（1986年）二仁溪流域沿岸大量廢五金熔煉與酸洗電鍍工廠非法排放廢水，廢水中含有高濃度的有毒重金屬「銅（Copper, Cu）」。出海口養殖牡蠣大量濾食並在體內蓄積高濃度銅離子，使得牡蠣肉色轉綠並大量暴斃，即著名的「綠牡蠣事件」。
2. 其他選項說明：
- (A) 藻類過多會引起藻華或紅潮，但非綠牡蠣重金屬中毒原因。
- (B) 有機物過高會導致水質黑臭缺氧，不會使牡蠣累積高濃度銅變綠。
- (D) 溶氧過高不會造成牡蠣變綠死亡。"
353,暑期練習7/23,有關潮間帶的敘述，下列哪個選項是「錯誤」的？,位於滿乾潮之間的地帶,提供人們養殖、遊憩與觀光的主要場所,生物能適應短暫缺水及陽光曝晒,此地生態系的生產力，與其它生態系相較，生產力偏低,(D) 此地生態系的生產力，與其它生態系相較，生產力偏低,"【正解】：(D)
【解析】：
1. 正確選項（錯誤敘述）(D)：潮間帶（Intertidal Zone）接受充足陽光照射，且潮汐與陸地逕流帶來豐富的無機營養鹽，孕育大量藻類、浮游生物與底棲生物，是全球「基礎初級生產力極高」且生物多樣性極為繁盛的生態系之一，絕非生產力偏低。
2. 其他選項說明：
- (A) 潮間帶即滿潮最高水位與乾潮最低水位之間的海岸過渡帶。
- (B) 潮間帶自古為人類採集、水產養殖與現代生態觀光的重要場域。
- (C) 潮間帶生物演化出特殊保水與耐曬構造（如藤壺閉殼、招潮蟹鑽洞），以適應退潮時的乾旱與烈日曝曬。"
354,暑期練習7/23,下列哪個地區可以發現具有肥厚的脂肪層、能生存在低溫環境中的動物？,草原,熱帶雨林,濱海沼澤,極地,(D) 極地,"【正解】：(D)
【解析】：
1. 正確選項 (D)：極地地區（北極與南極）氣候終年嚴寒酷冷，棲息於極地的恆溫動物（如北極熊、海豹、海象、企鵝等）演化出極為厚實的「皮下脂肪層（鯨脂）」與密實的保暖毛羽，能有效隔絕嚴寒、減少體熱散失以維持體溫。
2. 其他選項說明：(A) 草原、(B) 熱帶雨林、(C) 濱海沼澤氣候溫暖或炎熱，動物不需厚重皮下脂肪層禦寒，過厚脂肪反而不利於散熱。"
355,暑期練習7/23,下列哪一項是常見的環境荷爾蒙？,硼酸,氯化鈉,硫酸,DDT,(D) DDT,"【正解】：(D)
【解析】：
1. 正確選項 (D)：DDT（雙對氯苯基三氯乙烷）為有機氯農藥，具高脂溶性、環境持久性與生物累積性，是公認典型的「環境荷爾蒙（內分泌干擾物）」，會干擾雌激素受體、導致鳥類蛋殼變薄破裂及影響人畜生殖發育系統，已被國際公約（斯德哥爾摩公約）全面禁用。
2. 其他選項說明：
- (A) 硼酸：常見防腐或殺蟻劑，非環境荷爾蒙。
- (B) 氯化鈉：普通食鹽，為人體必需電解質。
- (C) 硫酸：強無機酸，具強腐蝕性，非環境荷爾蒙。"
356,暑期練習7/23,請問下列選項何者為壽山的舊稱？,打狗山,打猴山,打鳥山,打貓山,(A) 打狗山,"【正解】：(A)
【解析】：
1. 正確選項 (A)：高雄壽山在明清時期舊稱為「打狗山」或「柴山」（高雄舊稱「打狗」，源自平埔族馬卡道族語「Takao」，意為竹林）。日治時期大正12年（1923年）日本裕仁皇太子巡視臺灣住宿於此適逢壽誕，遂將打狗山更名為「壽山」。
2. 其他選項說明：
- (B)(C) 打猴山、打鳥山皆為混淆字眼。
- (D) 打貓：為嘉義縣民雄鄉之舊稱（源自平埔族打貓社）。"
